No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,when the sunrise,49500,1,11314,69,http://artlist.io/royalty-free-music/song/when-the-sunrise/51814
2,footage stock,12100,1,5306,71,http://artlist.io/stock-footage
3,how can you go live on instagram,8100,1,4152,70,http://artlist.io/blog/how-to-go-live-in-instagram/
4,how to go live instagram,8100,1,4150,73,http://artlist.io/blog/how-to-go-live-in-instagram/
5,sfx,12100,1,4032,60,http://artlist.io/sfx
6,artlist io,6600,1,2628,62,http://artlist.io/
7,art lists,27100,3,2147,44,http://artlist.io/
8,sound effects sound,33100,3,1980,59,http://artlist.io/sfx
9,sound and effects,33100,3,1980,59,http://artlist.io/sfx
10,arts list,27100,2,1930,70,http://artlist.io/
11,effects sound,33100,3,1904,59,http://artlist.io/sfx
12,sound and effect,33100,2,1759,59,http://artlist.io/sfx
13,sound effects,33100,2,1683,57,http://artlist.io/sfx
14,stock footage,12100,2,1266,68,http://artlist.io/stock-footage
15,how do you go to live on instagram,8100,3,902,70,http://artlist.io/blog/how-to-go-live-in-instagram/
16,how can we go live on instagram,8100,3,881,74,http://artlist.io/blog/how-to-go-live-in-instagram/
17,sound sfx,33100,4,791,59,http://artlist.io/sfx
18,artist music,1600,1,625,64,http://artlist.io/
19,evert z,1300,1,591,65,http://artlist.io/royalty-free-music/artist/evert-z/887
20,artist list,1300,1,577,66,http://artlist.io/
21,how to know if music is copyrighted,1900,1,563,49,http://artlist.io/blog/how-to-know-if-a-song-is-copyrighted/
22,sounds effects,33100,5,517,59,http://artlist.io/sfx
23,video stock shot,14800,4,507,69,http://artlist.io/stock-footage
24,eyes for eyes,1300,1,503,55,http://artlist.io/royalty-free-music/song/eyes-for-eyes/11195
25,stock footage for videos,14800,4,421,71,http://artlist.io/stock-footage
26,artlist music,1000,1,412,79,http://artlist.io/
27,free music licensing,1300,1,401,55,http://artlist.io/royalty-free-music
28,free music license,1300,1,401,65,http://artlist.io/royalty-free-music
29,copyrighted songs,880,1,384,44,http://artlist.io/blog/how-to-know-if-a-song-is-copyrighted/
30,youtube equipment,720,1,357,55,http://artlist.io/blog/youtube-equipment-essentials-for-your-channel/
31,youtubers equipment,720,1,336,39,http://artlist.io/blog/youtube-equipment-essentials-for-your-channel/
32,artist and music,9900,4,324,63,http://artlist.io/
33,how to going live on instagram,8100,4,293,71,http://artlist.io/blog/how-to-go-live-in-instagram/
34,how to go live on ig,8100,4,293,75,http://artlist.io/blog/how-to-go-live-in-instagram/
35,how i go live on instagram,8100,4,293,69,http://artlist.io/blog/how-to-go-live-in-instagram/
36,how to go on live instagram,8100,4,293,72,http://artlist.io/blog/how-to-go-live-in-instagram/
37,how to go live in instagram,8100,4,293,8,http://artlist.io/blog/how-to-go-live-in-instagram/
38,artlist login,590,1,263,50,http://artlist.io/
39,days pass,9900,3,253,65,http://artlist.io/royalty-free-music/song/days-pass/15118
40,best sound effect,590,1,243,60,http://artlist.io/sfx
41,best sound effects,590,1,243,60,http://artlist.io/sfx
42,best sfx,590,1,236,51,http://artlist.io/sfx
43,vintage filmmaking,590,1,236,69,http://artlist.io/blog/how-to-create-vintage-videos/
44,stock shot video,14800,5,228,72,http://artlist.io/stock-footage
45,effects sounds,33100,6,219,59,http://artlist.io/sfx
46,effect sound,33100,6,205,59,http://artlist.io/sfx
47,we are the good,720,1,203,68,http://artlist.io/royalty-free-music/artist/wearethegood/1248
48,stock footage video,14800,5,201,71,http://artlist.io/stock-footage
49,vlogger lighting,390,1,199,48,http://artlist.io/blog/vlog-lighting-setup/
50,vintage cinematography,390,1,199,56,http://artlist.io/blog/how-to-create-vintage-videos/
51,lighting for vloggers,390,1,194,51,http://artlist.io/blog/vlog-lighting-setup/
52,fresnel lens lighting,390,1,194,54,http://artlist.io/blog/fresnel-lights/
53,elevator music,12100,5,190,75,http://artlist.io/blog/elevator-music/
54,sound effect sound,33100,6,167,59,http://artlist.io/sfx
55,sound effects for,33100,6,167,58,http://artlist.io/sfx
56,spec ad,590,1,165,55,http://artlist.io/blog/what-is-a-spec-ad/
57,lighting for vlogging,390,1,161,50,http://artlist.io/blog/vlog-lighting-setup/
58,best quality for video,480,1,160,65,http://artlist.io/blog/video-formats/
59,artist,49500,6,160,77,http://artlist.io/
60,sound of effect,33100,6,153,62,http://artlist.io/sfx
61,sound effects and,33100,6,153,57,http://artlist.io/sfx
62,artists free music,320,1,151,64,http://artlist.io/
63,fresnel lighting,2400,2,151,40,http://artlist.io/blog/fresnel-lights/
64,close up shot,4400,4,145,58,http://artlist.io/blog/the-power-of-the-close-up-shot-why-when-and-how-to-use-it/
65,for youtubers,320,1,145,63,http://artlist.io/blog/for-youtubers/
66,happy to be happy,320,1,142,79,http://artlist.io/royalty-free-music/song/happy-to-be-happy/80060
67,how to succeed in youtube,880,1,141,65,http://artlist.io/blog/how-to-be-successful-on-youtube/
68,anger street,8100,5,139,70,http://artlist.io/song/107457/anger-streets
69,copyrighted music,1900,2,138,59,http://artlist.io/blog/how-to-know-if-a-song-is-copyrighted/
70,stock video,14800,6,129,69,http://artlist.io/stock-footage
71,stocks video,14800,8,129,70,http://artlist.io/stock-footage
72,fresnel lens light,390,1,128,49,http://artlist.io/blog/fresnel-lights/
73,male moaning,18100,6,126,63,http://artlist.io/sfx/pack/sensual-male-/7095
74,sounds effect,33100,8,121,55,http://artlist.io/sfx
75,artlist price,320,1,118,44,http://artlist.io/page/pricing/max
76,artlist pricing,320,1,118,46,http://artlist.io/page/pricing/max
77,sounds of monsters,3600,4,115,64,http://artlist.io/sfx/categories/monsters
78,pleasure sounds,8100,6,111,50,http://artlist.io/sfx/track/sensual-female---moaning-and-gasping-with-pleasure/86774
79,video footage stock,14800,6,107,71,http://artlist.io/stock-footage
80,polarized camera lens,49500,8,104,67,http://artlist.io/blog/camera-polarizer-lens-filter/
81,camera lens polarizer,49500,8,104,64,http://artlist.io/blog/camera-polarizer-lens-filter/
82,royalty free music,49500,8,104,63,http://artlist.io/royalty-free-music
83,equipment needed for a youtube channel,210,1,99,44,http://artlist.io/blog/youtube-equipment-essentials-for-your-channel/
84,youtube equipment for beginners,210,1,99,42,http://artlist.io/blog/youtube-equipment-essentials-for-your-channel/
85,how to find out if a song is copyrighted,1900,2,99,41,http://artlist.io/blog/how-to-know-if-a-song-is-copyrighted/
86,how can i find out if a song is copyrighted,1900,2,99,19,http://artlist.io/blog/how-to-know-if-a-song-is-copyrighted/
87,sfx download,3600,5,98,55,http://artlist.io/sfx
88,equipment you need for a youtube channel,210,1,98,49,http://artlist.io/blog/youtube-equipment-essentials-for-your-channel/
89,how to check if a song is copyrighted,1900,2,96,50,http://artlist.io/blog/how-to-know-if-a-song-is-copyrighted/
90,equipment for a youtube channel,170,1,96,50,http://artlist.io/blog/youtube-equipment-essentials-for-your-channel/
91,how do i go live on instagram,8100,5,95,72,http://artlist.io/blog/how-to-go-live-in-instagram/
92,how do you go live on instagram,8100,5,95,71,http://artlist.io/blog/how-to-go-live-in-instagram/
93,how to go live on instagram live,8100,5,95,70,http://artlist.io/blog/how-to-go-live-in-instagram/
94,how to tell if a song is copyrighted,1900,2,95,51,http://artlist.io/blog/how-to-know-if-a-song-is-copyrighted/
95,how do you go on instagram live,8100,5,95,71,http://artlist.io/blog/how-to-go-live-in-instagram/
96,best quality of video,320,1,95,66,http://artlist.io/blog/video-formats/
97,how to know if songs are copyrighted,1900,2,94,41,http://artlist.io/blog/how-to-know-if-a-song-is-copyrighted/
98,music for videos,1300,2,93,58,http://artlist.io/royalty-free-music
99,music royalty free,260,9,93,63,http://artlist.io/royalty-free-music
100,broken radios,210,1,92,66,http://artlist.io/song/603/broken-radios
101,youtube video recording equipment,260,1,90,48,http://artlist.io/blog/youtube-equipment-essentials-for-your-channel/
102,equipment for youtube videos,260,1,90,48,http://artlist.io/blog/youtube-equipment-essentials-for-your-channel/
103,equipment for youtube channel,170,1,90,47,http://artlist.io/blog/youtube-equipment-essentials-for-your-channel/
