No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,魔王魂,22200,1,6208,59,http://maou.audio/
2,シャイニングスター,18100,1,5966,55,http://maou.audio/14_shining_star/
3,12345,5400,1,1982,62,http://maou.audio/19_12345/
4,シャイニングスター歌詞,4400,1,1840,54,http://maou.audio/14_shining_star/
5,シャイニングスター 歌詞,4400,1,1537,57,http://maou.audio/14_shining_star/
6,フリー　bgm,40500,4,775,48,http://maou.audio/
7,月と狼,1600,1,652,60,http://maou.audio/04_tsuki_to_okami/
8,戦闘 bgm,1300,1,651,55,http://maou.audio/category/game/game-battle/
9,bgm フリー,22200,4,649,59,http://maou.audio/
10,フリーbgm,40500,4,628,51,http://maou.audio/
11,bgmフリー,22200,4,626,49,http://maou.audio/
12,魔王魂 bgm,1600,1,604,35,http://maou.audio/category/bgm/
13,バーニングハート,1600,1,600,42,http://maou.audio/08_burning_heart/
14,戦闘bgm,1300,1,556,33,http://maou.audio/category/game/game-battle/
15,せんとうbgm,1300,1,556,46,http://maou.audio/category/game/game-battle/
16,フリーのbgm,40500,5,508,59,http://maou.audio/
17,burning heart,1300,1,439,58,http://maou.audio/08_burning_heart/
18,フリーbgm 魔王魂,880,1,384,35,http://maou.audio/category/bgm/
19,シャイニングスター 綴れば,880,1,360,49,http://maou.audio/14_shining_star/
20,魔王魂 シャイニングスター,880,1,353,54,http://maou.audio/14_shining_star/
21,フリー 音源,22200,5,346,45,http://maou.audio/
22,フリーbgm魔王魂,880,1,328,40,http://maou.audio/category/bgm/
23,フリー bgm 魔王魂,880,1,328,45,http://maou.audio/category/bgm/
24,フリー音源,22200,5,320,46,http://maou.audio/
25,魔王魂様,720,1,317,65,http://maou.audio/
26,ただ風に揺られて,880,1,314,55,http://maou.audio/14_shining_star/
27,シャイニングスター綴れば,880,1,314,64,http://maou.audio/14_shining_star/
28,フリー 音楽,6600,4,302,50,http://maou.audio/
29,フリー音楽,6600,4,279,53,http://maou.audio/
30,フリーの音楽,6600,4,269,51,http://maou.audio/
31,ピアノ効果音,480,1,243,42,http://maou.audio/category/se/se-inst/
32,森田公一 シャイニングスター,1000,1,232,41,http://maou.audio/14_shining_star/
33,フリー bgm,40500,6,230,46,http://maou.audio/
34,bgm 無料,8100,4,220,51,http://maou.audio/
35,ときめき ラビリンス,480,1,214,52,http://maou.audio/32_tokimeki_labyrinth/
36,burning heart歌詞,390,1,214,50,http://maou.audio/08_burning_heart/
37,burning heart 歌詞,390,1,209,48,http://maou.audio/08_burning_heart/
38,ときめきラビリンス,480,1,207,54,http://maou.audio/32_tokimeki_labyrinth/
