No,Keywords,Volume,Position,Est. Visits,Seo Difficulty,Ranking Url
1,motion array,40500,1,11144,68,http://motionarray.com/
2,stock shots video,14800,1,5409,71,http://motionarray.com/browse/stock-video/
3,video stock shot,14800,1,5409,69,http://motionarray.com/browse/stock-video/
4,video stock shots,14800,1,5359,71,http://motionarray.com/browse/stock-video/
5,video footage stock,14800,1,5359,71,http://motionarray.com/browse/stock-video/
6,stock video,14800,1,5336,69,http://motionarray.com/browse/stock-video/
7,stock shot video,14800,1,5019,72,http://motionarray.com/browse/stock-video/
8,graphics with motion,8100,1,4508,56,http://motionarray.com/browse/stock-motion-graphics/
9,motion graphics,8100,1,4078,61,http://motionarray.com/browse/stock-motion-graphics/
10,cloud slideshow,27100,2,1932,55,http://motionarray.com/after-effects-templates/clouds-slideshow-18671/
11,stock video footage,12100,2,1340,71,http://motionarray.com/browse/stock-video/
12,male moaning,18100,3,1336,63,http://motionarray.com/sound-effects/loud-male-moans-1183370/
13,stock footage videos,14800,2,1325,71,http://motionarray.com/browse/stock-video/
14,footage stock video,14800,2,1299,71,http://motionarray.com/browse/stock-video/
15,stock footage video,14800,2,1299,71,http://motionarray.com/browse/stock-video/
16,video stock video,14800,2,1299,67,http://motionarray.com/browse/stock-video/
17,stock footage for video,14800,2,1297,71,http://motionarray.com/browse/stock-video/
18,stock footage for videos,14800,2,1295,71,http://motionarray.com/browse/stock-video/
19,motion designs,3600,1,1227,66,http://motionarray.com/browse/stock-motion-graphics/
20,footage stock,12100,2,1184,71,http://motionarray.com/browse/stock-video/
21,template for after effect,2400,1,999,60,http://motionarray.com/browse/after-effects-templates/
22,after effects template,2400,1,999,59,http://motionarray.com/browse/after-effects-templates/
23,after effect template,2400,1,999,60,http://motionarray.com/browse/after-effects-templates/
24,after effects templates,2400,1,999,61,http://motionarray.com/browse/after-effects-templates/
25,after effect templates,2400,1,999,59,http://motionarray.com/browse/after-effects-templates/
26,graphics in motion,8100,3,951,57,http://motionarray.com/browse/stock-motion-graphics/
27,template for after effects,2400,1,891,60,http://motionarray.com/browse/after-effects-templates/
28,templates for after effects,2400,1,831,61,http://motionarray.com/browse/after-effects-templates/
29,templates in after effects,2400,1,831,62,http://motionarray.com/browse/after-effects-templates/
30,graphic motion,8100,3,809,62,http://motionarray.com/browse/stock-motion-graphics/
31,template after effects free,1900,1,802,57,http://motionarray.com/browse/after-effects-templates/free/
32,free templates after effects,1900,1,802,54,http://motionarray.com/browse/after-effects-templates/free/
33,free templates ae,1900,1,802,51,http://motionarray.com/browse/after-effects-templates/free/
34,after effects template free,1900,1,802,49,http://motionarray.com/browse/after-effects-templates/free/
35,free template after effects,1900,1,802,52,http://motionarray.com/browse/after-effects-templates/free/
36,template free after effects,1900,1,802,54,http://motionarray.com/browse/after-effects-templates/free/
37,after effects video templates free,1900,1,802,58,http://motionarray.com/browse/after-effects-templates/free/
38,free after effects template,1900,1,802,54,http://motionarray.com/browse/after-effects-templates/free/
39,template free ae,1900,1,802,53,http://motionarray.com/browse/after-effects-templates/free/
40,free ae templates,1900,1,802,49,http://motionarray.com/browse/after-effects-templates/free/
41,free template video after effect,1900,1,802,50,http://motionarray.com/browse/after-effects-templates/free/
42,ae template free,1900,1,802,51,http://motionarray.com/browse/after-effects-templates/free/
43,templates after effects free,1900,1,802,57,http://motionarray.com/browse/after-effects-templates/free/
44,free template after effect,1900,1,802,54,http://motionarray.com/browse/after-effects-templates/free/
45,after effect template for free,1900,1,802,53,http://motionarray.com/browse/after-effects-templates/free/
46,after effects templates free,1900,1,802,56,http://motionarray.com/browse/after-effects-templates/free/
47,after effect free templates,1900,1,802,56,http://motionarray.com/browse/after-effects-templates/free/
48,free template for after effect,1900,1,802,54,http://motionarray.com/browse/after-effects-templates/free/
49,after effect effect free,1900,1,802,59,http://motionarray.com/browse/after-effects-templates/free/
50,after effect templates free,1900,1,802,57,http://motionarray.com/browse/after-effects-templates/free/
51,free template ae,1900,1,802,53,http://motionarray.com/browse/after-effects-templates/free/
52,after effect template free,1900,1,802,52,http://motionarray.com/browse/after-effects-templates/free/
53,candle blowing out,2400,1,767,74,http://motionarray.com/stock-video/lighting-and-blowing-out-birthday-candle-885575/
54,blowing candles out,2400,1,767,63,http://motionarray.com/stock-video/lighting-and-blowing-out-birthday-candle-885575/
55,blow out candles,2400,1,767,65,http://motionarray.com/stock-video/lighting-and-blowing-out-birthday-candle-885575/
56,blowing out candles,2400,1,767,64,http://motionarray.com/stock-video/lighting-and-blowing-out-birthday-candle-885575/
57,movie overlays,1900,1,749,42,http://motionarray.com/learn/video-effects/free-film-grain/
58,templates free after effects,1900,1,695,54,http://motionarray.com/browse/after-effects-templates/free/
59,template after effect free,1900,1,695,53,http://motionarray.com/browse/after-effects-templates/free/
60,after effects effects free,1900,1,695,58,http://motionarray.com/browse/after-effects-templates/free/
61,free after effects video templates,1900,1,695,61,http://motionarray.com/browse/after-effects-templates/free/
62,after effects freebies,1900,1,695,48,http://motionarray.com/browse/after-effects-templates/free/
63,after effects free effects,1900,1,695,60,http://motionarray.com/browse/after-effects-templates/free/
64,free after effects templates,1900,1,652,54,http://motionarray.com/browse/after-effects-templates/free/
65,after effects template for free,1900,1,652,54,http://motionarray.com/browse/after-effects-templates/free/
66,after effects templates for free,1900,1,652,51,http://motionarray.com/browse/after-effects-templates/free/
